analysis_id,ut39195j6qh6083
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
parameter_id,IMPC_IMM_069_001
mouse_strain,C57BL
pvalue,0.884944
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Tnfsf10
