parameter_name,Neural tube morphology
pvalue,0.5127692
gene_symbol,Nemp2
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
analysis_id,1j58xu29h66kg70
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
