parameter_name,Activity (body position)
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
analysis_id,27wwpohs1gt460f
parameter_id,IMPC_CSD_029_001
mouse_strain,C57BL
pvalue,0.2273428
