analysis_id,dt2u22k3tn951zt
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:109585
gene_symbol,Pld1
pvalue,0.4744288
