analysis_id,p2010o46l87065v
pvalue,0.7091612
mouse_strain,C57BL
gene_symbol,Psd4
gene_accession_id,MGI:2674093
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
parameter_name,ST
