analysis_id,weqs5p807542a83
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
mouse_strain,C57BL
parameter_id,IMPC_CSD_011_001
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - back
pvalue,0.06447059
