gene_symbol,Hnf4a
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
pvalue,0.8601259
mouse_life_stage,Late adult
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:109128
analysis_id,3y4wee71yt3az42
