analysis_id,lvu5048wf414075
mouse_life_stage,E12.5
pvalue,0.1019282
gene_symbol,Ahcy
mouse_strain,C57BL
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:87968
