analysis_id,dg183l4s19235fw
mouse_life_stage,Early adult
parameter_name,PP1 + pulse startle magnitude
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_strain,C57BL
pvalue,0.7798399
