analysis_id,gn8eiwu6h8c12t6
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
gene_symbol,Exd1
pvalue,0.9714941
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
