parameter_name,Follicular B Cells (CD21/35+)
analysis_id,t64377r89kpk976
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_id,IMPC_IMM_067_001
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.7000099
