parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
analysis_id,6a08p0e9siu7434
pvalue,0.3267041
mouse_strain,C57BL
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
