gene_symbol,Car13
mouse_life_stage,Early adult
analysis_id,56uc58w81h9ne19
pvalue,0.6378517
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1931322
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
