gene_symbol,Maco1
mouse_strain,C57BL
parameter_id,MGP_IMM_078_001
analysis_id,72c905y8ed9sw8y
pvalue,0.08184167
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
parameter_name,Resting Treg cells - % of CD45+
