analysis_id,e7xuf18k56lvk5x
mouse_strain,C57BL
gene_symbol,CDIN1
parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:3026886
parameter_id,IMPC_IMM_032_001
pvalue,0.3433609
mouse_life_stage,E9.5
