parameter_name,Delayed embryonic development
mouse_strain,C57BL
pvalue,0.6667954
gene_symbol,Ahctf1
analysis_id,hnvne55618r940y
gene_accession_id,MGI:1915033
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
