parameter_id,IMPC_EYE_006_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
pvalue,0.2698742
mouse_strain,C57BL
analysis_id,4760s31105php17
parameter_name,Narrow eye opening
