gene_symbol,Nucks1
gene_accession_id,MGI:1934811
parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
pvalue,0.4619114
analysis_id,5pp67qfgr76i4g4
mouse_life_stage,Late adult
parameter_id,IMPC_EYE_024_001
