parameter_name,Hindpaw - size
mouse_strain,B6J
analysis_id,7z11i94196y37g3
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
pvalue,0.1389531
