parameter_name,Eosinophils
gene_accession_id,MGI:97054
mouse_strain,C57BL
pvalue,0.5098971
mouse_life_stage,Early adult
gene_symbol,Mov10
parameter_id,IMPC_IMM_052_001
analysis_id,dr3758sz5p790bo
