analysis_id,8fqb137fcan3h5l
gene_accession_id,MGI:95835
parameter_id,MGP_IMM_110_001
gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.6452254
parameter_name,Transitional 1 B cells - % of CD45+
mouse_life_stage,Early adult
