gene_symbol,Ppm1j
mouse_strain,C57BL
parameter_name,Number of rears - total
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:1919137
pvalue,0.9810263
mouse_life_stage,Early adult
analysis_id,83c2lobks53y3j8
