gene_symbol,Dhdds
gene_accession_id,MGI:1914672
mouse_strain,C57BL
analysis_id,mk8c2br244ucieq
parameter_id,IMPC_XRY_018_001
mouse_life_stage,Early adult
parameter_name,Shape of vertebrae
pvalue,0.5121415
