analysis_id,8370at5098sk5cb
mouse_life_stage,Late adult
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
gene_symbol,Slc30a4
pvalue,0.8142225
mouse_strain,C57BL
gene_accession_id,MGI:1345282
