gene_symbol,Tox
analysis_id,1v1kxr26j3t9r77
mouse_life_stage,Early adult
parameter_id,MGP_PBI_001_001
parameter_name,Total T cell percentage
pvalue,0.6999621
mouse_strain,C57BL
gene_accession_id,MGI:2181659
