analysis_id,t553z9h40a6z763
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of cDC
pvalue,0.7208485
mouse_life_stage,Early adult
gene_symbol,Lpgat1
parameter_id,MGP_IMM_067_001
gene_accession_id,MGI:2446186
