analysis_id,3dzs6897c8sb5pw
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Ints7
parameter_name,Prepulse inhibition - PP4
pvalue,0.9483654
parameter_id,ESLIM_011_001_704
