analysis_id,s0jqg2l0l23436d
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.6005174
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:99501
gene_symbol,Fgb
