gene_symbol,Bmi1
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
analysis_id,tjruzgl8hluae4r
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8728243
