parameter_id,M-G-P_026_001_004
gene_accession_id,MGI:2448481
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9198378
gene_symbol,Mgst2
analysis_id,7edg161dfh0o90e
parameter_name,Coat colouration
