gene_symbol,AMIGO1
gene_accession_id,MGI:2653612
parameter_id,IMPC_OFD_021_001
mouse_strain,C57BL
parameter_name,Number of rears - total
mouse_life_stage,Early adult
analysis_id,19u0aqwyu09a0o9
pvalue,0.4573547
