analysis_id,2mv35fme08h446d
gene_symbol,Nr0b2
parameter_id,JAX_LDT_004_001
pvalue,0.4525724
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_name,Dark side time spent
mouse_strain,B6J
