parameter_name,Corneal opacity
mouse_life_stage,Early adult
pvalue,0.6043301
mouse_strain,C57BL
analysis_id,hbry7fse60i7oxt
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
