parameter_name,Aggression
analysis_id,3g571s64jz9t175
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.7346928
parameter_id,IMPC_CSD_079_001
gene_symbol,Nr0b2
