parameter_name,Embryo Size
gene_accession_id,MGI:109585
gene_symbol,PLD1
parameter_id,IMPC_GEO_019_001
pvalue,0.7656222
mouse_life_stage,Early adult
analysis_id,8j0dp659x5ht23y
mouse_strain,C57BL
