parameter_name,Hemorrhage
pvalue,0.1268332
mouse_strain,C57BL
analysis_id,h760sfn75w69pm8
gene_accession_id,MGI:1914556
parameter_id,IMPC_GEO_009_002
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
