gene_symbol,Arnt
parameter_name,CD11b-high cDC - % of CD45+
gene_accession_id,MGI:88071
analysis_id,gihmz5q39mtl37x
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
mouse_life_stage,Early adult
pvalue,0.415573
