analysis_id,o09h7wwhi68728u
mouse_strain,C57BL
pvalue,0.5317091
gene_accession_id,MGI:2674093
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Psd4
mouse_life_stage,Early adult
