analysis_id,485om537oem9q85
gene_symbol,Pum1
mouse_strain,C57BL
gene_accession_id,MGI:1931749
parameter_id,MGP_IMM_129_001
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.1878094
