gene_symbol,Frmpd1
analysis_id,l001c57k786nom3
parameter_name,Pericardium Morphology
mouse_life_stage,Middle aged adult
parameter_id,IMPC_GEL_006_001
pvalue,0.9227111
mouse_strain,C57BL
gene_accession_id,MGI:2446274
