gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_name,Placenta Morphology
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
analysis_id,3909t018x0uy91p
pvalue,0.3470597
