analysis_id,92x7t98ud8g3wv4
mouse_strain,C57BL
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
gene_symbol,Nanp
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
pvalue,0.5548865
