analysis_id,4iic9yo114s1755
parameter_name,Vocalization
gene_accession_id,MGI:109356
parameter_id,IMPC_CSD_078_001
gene_symbol,Snap23
pvalue,0.560722
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
