gene_symbol,Mapkap1
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_id,MGP_PBI_018_001
mouse_life_stage,Early adult
pvalue,0.6187079
parameter_name,Ly6Clow monocyte percentage
analysis_id,4ki1cfv9r764j49
