analysis_id,ta5c913eu0uoz59
gene_accession_id,MGI:1914583
pvalue,0.9414494
gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
parameter_name,Limb coat/hair presence
