parameter_name,QT
analysis_id,r03969r0g4v425c
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
pvalue,0.6512456
gene_accession_id,MGI:2140475
