parameter_name,center - resting time
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,M-G-P_007_001_011
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
pvalue,0.8749524
analysis_id,ldgh0510uzil80i
