analysis_id,ro8867bld116302
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,M-G-P_005_001_004
gene_symbol,Fgb
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:99501
pvalue,0.8247147
