gene_symbol,Rab17
parameter_id,IMPC_CBC_024_001
pvalue,0.0841829
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104640
analysis_id,8qc4g8m71w31wy2
parameter_name,UIBC (unsaturated iron binding capacity)
