parameter_name,Respiration Rate
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
pvalue,0.7903795
analysis_id,978jr1ms557xf92
