analysis_id,u44w4602gw3s1z5
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Hnf4a
pvalue,0.7375302
parameter_id,IMPC_EYE_026_001
