parameter_id,IMPC_OWT_004_001
analysis_id,q81pk4g8500l1g0
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_strain,C57BL
parameter_name,Right kidney weight
mouse_life_stage,Early adult
pvalue,0.5147054
