analysis_id,z9j2qtxya7h04x4
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
pvalue,0.1695491
gene_symbol,Rufy4
