analysis_id,sh97tu9z17j6610
mouse_life_stage,E12.5
parameter_id,IMPC_EYE_092_001
pvalue,0.09730035
parameter_name,Retina (combined)
gene_accession_id,MGI:87968
mouse_strain,C57BL
gene_symbol,Ahcy
