parameter_name,Delayed embryonic development
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
analysis_id,875g4ioqpj7xo15
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
pvalue,0.7206624
