analysis_id,1j36hnk27vcq0a0
pvalue,0.304064
mouse_strain,C57BL
gene_symbol,Fgb
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:99501
parameter_name,Tremor
mouse_life_stage,E12.5
