gene_symbol,Lime1
mouse_strain,C57BL
parameter_name,Delayed embryonic development
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
analysis_id,2hd2l78lu8y0m9n
pvalue,0.3174812
parameter_id,IMPC_GEL_063_001
