gene_symbol,S100a3
mouse_strain,C57BL
gene_accession_id,MGI:1338849
mouse_life_stage,Early adult
pvalue,0.5036324
analysis_id,p2fru1m5e3a2864
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
