analysis_id,8p1l65i36ivq377
gene_accession_id,MGI:106659
pvalue,0.2509206
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
mouse_strain,C57BL
gene_symbol,Sprr1b
parameter_name,Chloride
