parameter_id,CCP_XRY_001_001
pvalue,0.5296227
parameter_name,Skull shape
mouse_life_stage,Early adult
gene_symbol,Ncaph
mouse_strain,C57BL
gene_accession_id,MGI:2444777
analysis_id,90602284j3w891c
