gene_symbol,Plcb1
analysis_id,fe1u8cue1c847pw
pvalue,0.1121255
parameter_id,ESLIM_011_001_002
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:97613
