analysis_id,s0lo8x140j6e842
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
pvalue,0.5795369
parameter_name,Hindlimbs - size
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
