parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:1914672
analysis_id,02z1knu422v9dmz
mouse_life_stage,Early adult
parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,1.19011
gene_symbol,Dhdds
