parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,1.138587
gene_symbol,Fgb
gene_accession_id,MGI:99501
analysis_id,a779da637f6k74q
parameter_id,IMPC_IMM_034_001
